Id,Date,Game,Team,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCGF,SCGA,SCGF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,S%,ixG,iCF,iFF,iSCF,iHDCF,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
8475726,2022-12-01,2022-12-01 MTL at CGY,CGY,13.516666666667,24,7,77.42,13,6,68.42,13,4,76.47,1,0,100.0,0.85,0.33,72.34,9,1,90.0,1,0,100.0,5,1,83.33,1,0,100.0,4,0,100.0,0,0,,11,6,64.71,0,0,,7.69,100.0,1.077,2,4,1,11,66.67,7,7,3,70.0,0,0,0,0,0,0.0,3,0.0,0.18,4,3,2,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0.0
8475726,2022-12-03,2022-12-03 WSH at CGY,CGY,13.066666666666999,15,9,62.5,11,8,57.89,4,6,40.0,0,0,,0.6,0.27,68.85,5,4,55.56,0,0,,3,0,100.0,0,0,,2,4,33.33,0,0,,8,4,66.67,0,0,,0.0,100.0,1.0,2,3,3,11,40.0,2,4,5,28.57,0,0,0,0,0,,0,0.0,0.17,4,2,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0.0
8475726,2022-12-05,2022-12-05 ARI at CGY,CGY,13.933333333333001,8,7,53.33,4,6,40.0,4,4,50.0,0,1,0.0,0.14,0.47,23.03,4,5,44.44,0,1,0.0,0,1,0.0,0,0,,4,4,50.0,0,1,0.0,4,2,66.67,0,0,,0.0,75.0,0.75,5,5,1,11,83.33,7,5,2,77.78,0,0,0,0,0,,2,0.0,0.1,4,2,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0.0
8475726,2022-12-07,2022-12-07 MIN at CGY,CGY,10.183333333333,6,6,50.0,3,3,50.0,2,2,50.0,0,0,,0.04,0.08,36.62,1,1,50.0,0,0,,0,0,,0,0,,1,1,50.0,0,0,,5,3,62.5,0,0,,0.0,100.0,1.0,1,3,3,6,25.0,2,3,6,25.0,0,0,0,0,0,,1,0.0,0.01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8475726,2022-12-09,2022-12-09 CGY at CBJ,CGY,9.8166666666667,7,7,50.0,3,5,37.5,2,2,50.0,0,0,,0.12,0.2,37.81,1,1,50.0,0,0,,0,1,0.0,0,0,,1,0,100.0,0,0,,6,5,54.55,0,0,,0.0,100.0,1.0,0,4,1,8,0.0,4,4,4,50.0,0,0,0,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
8475726,2022-12-10,2022-12-10 CGY at TOR,CGY,13.933333333333001,9,13,40.91,3,9,25.0,2,5,28.57,0,0,,0.08,0.24,26.1,2,5,28.57,0,0,,0,0,,0,0,,2,5,28.57,0,0,,7,8,46.67,0,0,,0.0,100.0,1.0,3,3,2,10,60.0,4,3,4,50.0,0,0,0,0,0,,0,0.0,0.04,3,1,1,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0.0
8475726,2022-12-12,2022-12-12 CGY at MTL,CGY,9.9833333333333,10,14,41.67,9,9,50.0,6,7,46.15,0,0,,0.41,0.59,41.21,6,8,42.86,0,0,,1,4,20.0,0,0,,5,4,55.56,0,0,,2,4,33.33,0,0,,0.0,100.0,1.0,5,2,1,9,83.33,9,3,5,64.29,0,0,0,0,0,,2,0.0,0.07,3,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0.0
8475726,2022-12-14,2022-12-14 VAN at CGY,CGY,9.15,8,9,47.06,5,8,38.46,2,4,33.33,0,2,0.0,0.43,0.76,36.48,2,7,22.22,0,2,0.0,1,6,14.29,0,1,0.0,1,1,50.0,0,1,0.0,5,2,71.43,0,0,,0.0,50.0,0.5,3,0,0,8,100.0,3,1,0,100.0,0,0,0,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8475726,2022-12-16,2022-12-16 STL at CGY,CGY,14.266666666667,26,12,68.42,22,10,68.75,16,9,64.0,2,1,66.67,1.14,0.89,56.1,13,8,61.9,2,1,66.67,4,5,44.44,1,1,50.0,9,3,75.0,1,0,100.0,10,4,71.43,0,0,,12.5,88.89,1.014,4,4,1,12,80.0,7,5,3,70.0,0,0,0,0,0,0.0,4,0.0,0.24,6,5,4,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.0
8475726,2022-12-18,2022-12-18 CGY at S.J,CGY,13.083333333333002,15,10,60.0,13,9,59.09,8,7,53.33,3,0,100.0,0.99,0.64,60.73,9,5,64.29,3,0,100.0,3,3,50.0,2,0,100.0,6,2,75.0,1,0,100.0,5,4,55.56,0,0,,37.5,100.0,1.375,3,4,3,12,50.0,8,6,6,57.14,1,1,0,1,2,66.67,1,100.0,0.25,3,3,3,0,0,0,0,0,0,0,1,2,0,0,1,0,2,0,100.0
8475726,2022-12-20,2022-12-20 CGY at S.J,CGY,12.416666666666998,15,9,62.5,14,6,70.0,8,6,57.14,2,2,50.0,0.62,0.65,49.12,5,4,55.56,2,2,50.0,3,3,50.0,2,1,66.67,2,1,66.67,0,1,0.0,9,4,69.23,0,0,,25.0,66.67,0.917,2,4,2,13,50.0,3,8,4,42.86,1,1,0,1,2,100.0,2,50.0,0.18,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
