id,position,firstName,lastName
8475184,L,Chris,Kreider
8482109,L,Alexis,Lafrenière
8478550,L,Artemi,Panarin
8475752,C,Tyler,Pitlick
8476389,C,Vincent,Trocheck
8476918,L,Jimmy,Vesey
8471218,R,Blake,Wheeler
8476459,C,Mika,Zibanejad
8480208,R,Drake,Batherson
8478078,C,Rourke,Chartier
8473512,R,Claude,Giroux
8482092,C,Ridly,Greig
8478146,C,Matthew,Highmore
8482162,L,Roby,Jarventie
8478472,R,Mathieu,Joseph
8480355,C,Mark,Kastelic
8480448,L,Parker,Kelly
8477330,L,Dominik,Kubalik
8479772,R,Zack,MacEwen
8480064,C,Josh,Norris
8482116,C,Tim,Stützle
8475765,R,Vladimir,Tarasenko
8480801,L,Brady,Tkachuk
8474715,R,Cam,Atkinson
8481553,R,Bobby,Brink
8480220,L,Noah,Cates
8476461,C,Sean,Couturier
8475235,L,Nicolas,Deslauriers
8480797,L,Joel,Farabee
8482159,R,Tyson,Foerster
8480028,C,Morgan,Frost
8477903,R,Garnet,Hathaway
8478439,R,Travis,Konecny
8476872,C,Scott,Laughton
8480068,C,Ryan,Poehling
8480015,R,Owen,Tippett
8478569,C,Noel,Acciari
8470604,C,Jeff,Carter
8471675,C,Sidney,Crosby
8474189,C,Lars,Eller
8477404,L,Jake,Guentzel
8476994,C,Vinnie,Hinostroza
8471215,C,Evgeni,Malkin
8476442,L,Matt,Nieto
8482055,L,Drew,O'Connor
8476483,R,Rickard,Rakell
8475810,R,Bryan,Rust
8475191,R,Reilly,Smith
8482241,L,Radim,Zohorna
8477930,L,Pierre-Edouard,Bellemare
8482665,C,Matty,Beniers
8477416,R,Oliver,Bjorkstrand
8477444,L,Andre,Burakovsky
8474586,R,Jordan,Eberle
8476826,C,Yanni,Gourde
8481789,L,Tye,Kartye
8477955,L,Jared,McCann
8475768,C,Jaden,Schwartz
8476913,C,Devin,Shore
8479293,L,Brandon,Tanev
8480009,R,Eeli,Tolvanen
8477505,C,Alex,Wennberg
8482751,C,Ryan,Winterton
8483524,C,Shane,Wright
8479977,R,Kailer,Yamamoto
8482222,L,Alexander,Barabanov
8477846,C,Ryan,Carpenter
8477407,L,Anthony,Duclair
8482667,L,William,Eklund
8475798,C,Mikael,Granlund
8476881,C,Tomas,Hertl
8474884,C,Mike,Hoffman
8479316,C,Luke,Kunin
8478099,R,Kevin,Labanc
8478067,L,Oskar,Lindblom
8479379,R,Givani,Smith
8481477,C,Nico,Sturm
8480821,R,Filip,Zadina
8480188,L,Fabian,Zetterlund
8481543,C,Nikita,Alexandrov
8478104,L,Sammy,Blais
8477402,L,Pavel,Buchnevich
8475763,R,Kevin,Hayes
8477953,R,Kasperi,Kapanen
8479385,C,Jordan,Kyrou
8482089,L,Jake,Neighbours
8476438,L,Brandon,Saad
8475170,C,Brayden,Schenn
8476897,C,Oskar,Sundqvist
8480023,C,Robert,Thomas
8480281,R,Alexey,Toropchenko
8477944,L,Jakub,Vrana
8479718,C,Alex,Barré-Boulet
8478519,C,Anthony,Cirelli
8479591,C,Michael,Eyssimont
8476822,C,Luke,Glendening
8479542,L,Brandon,Hagel
8479661,L,Tanner,Jeannot
8476453,R,Nikita,Kucherov
8484325,C,Waltteri,Merela
8477353,C,Tyler,Motte
8477426,L,Nicholas,Paul
8478010,C,Brayden,Point
8477839,L,Conor,Sheary
8474564,C,Steven,Stamkos
8475766,L,Austin,Watson
8477479,L,Tyler,Bertuzzi
8477503,C,Max,Domi
8479393,C,Noah,Gregor
8475714,C,Calle,Jarnkrok
8480144,C,David,Kampf
8482720,L,Matthew,Knies
8478483,R,Mitchell,Marner
8479318,C,Auston,Matthews
8482259,C,Bobby,McMann
8477939,R,William,Nylander
8471817,R,Ryan,Reaves
8481582,L,Nicholas,Robertson
8475166,C,John,Tavares
8478463,L,Anthony,Beauvillier
8476927,C,Teddy,Blueger
8478444,R,Brock,Boeser
8476858,L,Phillip,Di Giuseppe
8478856,R,Conor,Garland
8481535,L,Nils,Hoglander
8478057,C,Dakota,Joshua
8483808,L,Andrei,Kuzmenko
8478043,C,Sam,Lafferty
8481624,R,Ilya,Mikheyev
8476468,C,J.T.,Miller
8480012,C,Elias,Pettersson
8480021,C,Jack,Studnicka
8480459,C,Pius,Suter
8478020,R,Michael,Amadio
8477964,C,Ivan,Barbashev
8477478,L,William,Carrier
8481032,C,Paul,Cotter
