,id,position,firstName,lastName,Expected Shots
409,8481032,C,Paul,Cotter,0.9200943696373053
400,8478043,C,Sam,Lafferty,0.9176080614466556
198,8479520,R,Brandon,Duhaime,0.9152938671386176
157,8480468,L,James,Hamblin,0.9142032780733201
304,8477903,R,Garnet,Hathaway,0.9130087797707525
108,8481147,C,Reese,Johnson,0.8998132364473884
25,8477070,C,Liam,O'Brien,0.8976465888987311
151,8478466,R,Daniel,Sprong,0.8856686206108281
280,8476459,C,Mika,Zibanejad,0.8842057847116971
171,8479367,R,William,Lockwood,0.8833187052024908
4,8477527,L,Ross,Johnston,0.8825350922079341
88,8479346,C,Dillon,Dube,0.8793576100692418
177,8478542,C,Evan,Rodrigues,0.8775983106181992
53,8478109,L,Victor,Olofsson,0.87615914163161
282,8478078,C,Rourke,Chartier,0.8735926279305728
112,8479390,R,Taylor,Raddysh,0.8734597506379916
118,8477476,L,Artturi,Lehkonen,0.8701319186970711
135,8470794,C,Joe,Pavelski,0.8649533080033462
370,8479661,L,Tanner,Jeannot,0.8636757106926938
99,8482074,C,Connor,Zary,0.8579660127658529
431,8480014,C,Gabriel,Vilardi,0.8549036254295291
354,8477402,L,Pavel,Buchnevich,0.8545556298762579
109,8479383,L,Boris,Katchouk,0.8512961139434873
251,8482062,L,Cole,Smith,0.8487166252408467
329,8477955,L,Jared,McCann,0.8459943808095157
447,8476880,R,Tom,Wilson,0.8438105127566704
417,8476905,C,Chandler,Stephenson,0.8435483371679963
24,8480855,C,Jack,McBain,0.8406530648332828
331,8476913,C,Devin,Shore,0.8387342520310354
22,8477021,C,Alex,Kerfoot,0.8384645353072724
18,8483431,C,Logan,Cooley,0.836251924354282
221,8479543,L,Michael,Pezzetta,0.8326219960154146
5,8479368,L,Max,Jones,0.8235187661703645
345,8479316,C,Luke,Kunin,0.8201661065592164
356,8477953,R,Kasperi,Kapanen,0.8184701005147555
74,8479941,R,Justin,Danforth,0.8166364652850863
252,8481577,C,Philip,Tomasino,0.8141055402987232
52,8473449,R,Kyle,Okposo,0.8090724697884859
193,8473453,C,Trevor,Lewis,0.8077145474420577
279,8471218,R,Blake,Wheeler,0.8042884089865843
111,8470621,R,Corey,Perry,0.8041430850310513
347,8478067,L,Oskar,Lindblom,0.8040310245041011
82,8478458,C,Jack,Roslovic,0.7981115305289621
110,8480798,C,Philipp,Kurashev,0.7976748842594716
200,8475220,L,Marcus,Foligno,0.7868476081557172
225,8479414,R,Nathan,Bastian,0.7838351478314105
413,8476448,C,William,Karlsson,0.7825205602193549
29,8481556,C,John,Beecher,0.7776369483328821
236,8476292,L,Ondrej,Palat,0.7773755367378669
240,8482146,R,Luke,Evangelista,0.7736509207340552
213,8481523,C,Kirby,Dach,0.7708290722886898
317,8482055,L,Drew,O'Connor,0.7697002998508945
372,8484325,C,Waltteri,Merela,0.7677597482827293
208,8482079,C,Marco,Rossi,0.7637065806530047
41,8479546,C,Oskar,Steen,0.7605817144650301
309,8478569,C,Noel,Acciari,0.7546467592185669
337,8479977,R,Kailer,Yamamoto,0.7538744678089166
348,8479379,R,Givani,Smith,0.7509168631045623
292,8480064,C,Josh,Norris,0.7506417762838181
76,8476346,L,Johnny,Gaudreau,0.746646840086583
373,8477353,C,Tyler,Motte,0.7434189901328567
272,8481554,R,Kaapo,Kakko,0.7425403591663118
141,8477429,C,Andrew,Copp,0.7415167109999863
307,8480068,C,Ryan,Poehling,0.7374779670968786
17,8479619,L,Michael,Carcone,0.7350448078073395
63,8482093,C,Seth,Jarvis,0.7349256622325845
172,8479066,L,Ryan,Lomberg,0.7341955555182497
363,8480281,R,Alexey,Toropchenko,0.7327723217983352
2,8480870,C,Bo,Groulx,0.7226592110843084
142,8478512,C,Austin,Czarnik,0.7174379669977015
65,8477962,L,Brendan,Lemieux,0.7169996352699783
321,8482241,L,Radim,Zohorna,0.7116519015828917
381,8479393,C,Noah,Gregor,0.7089905070580832
376,8477839,L,Conor,Sheary,0.7082458512689609
102,8477450,C,Jason,Dickinson,0.7022810023747513
248,8481704,C,Juuso,Parssinen,0.6955259508456649
224,8481058,R,Jesse,Ylönen,0.6880018978594086
365,8479718,C,Alex,Barré-Boulet,0.6870087489835539
315,8471215,C,Evgeni,Malkin,0.6807960157516856
336,8483524,C,Shane,Wright,0.6796031301782087
244,8477446,R,Michael,McCarron,0.6792450474395514
328,8481789,L,Tye,Kartye,0.6770807873807893
394,8478444,R,Brock,Boeser,0.6724930427190987
162,8481534,C,Raphael,Lavoie,0.672437458900916
276,8475752,C,Tyler,Pitlick,0.672303392505207
156,8474040,C,Sam,Gagner,0.6717477705908643
219,8481618,C,Alex,Newhook,0.6561927625561944
75,8484166,C,Adam,Fantilli,0.6548532912602095
342,8475798,C,Mikael,Granlund,0.6544440386534834
6,8473986,L,Alex,Killorn,0.653078388556022
220,8476871,L,Tanner,Pearson,0.6529303457580077
169,8476393,C,Nick,Cousins,0.6473060522437305
203,8475149,C,Marcus,Johansson,0.6455540238948646
327,8476826,C,Yanni,Gourde,0.6408198183037708
129,8480848,C,Ty,Dellandrea,0.6399919223220503
346,8478099,R,Kevin,Labanc,0.635174636704912
286,8482162,L,Roby,Jarventie,0.6336522204293197
229,8482125,R,Alexander,Holtz,0.6258890323233084
399,8483808,L,Andrei,Kuzmenko,0.6255130201694273
440,8477947,L,Sonny,Milano,0.6246679095030733
358,8482089,L,Jake,Neighbours,0.6221364114059121
412,8479353,C,Brett,Howden,0.618572162862273
339,8477846,C,Ryan,Carpenter,0.6158742514960688
253,8478508,C,Yakov,Trenin,0.615654425362143
265,8476419,C,Jean-Gabriel,Pageau,0.6139772047523322
316,8476442,L,Matt,Nieto,0.6094603875282815
185,8479400,C,Pierre-Luc,Dubois,0.603600122290291
242,8480853,C,Liam,Foudy,0.6018337296998717
217,8481093,L,Rafael,Harvey-Pinard,0.5943622781561128
227,8475287,L,Erik,Haula,0.5924459023711519
243,8479996,C,Cody,Glass,0.5902818407086607
222,8483515,L,Juraj,Slafkovsky,0.5901479991339559
34,8479987,C,Morgan,Geekie,0.5898822474920037
368,8476822,C,Luke,Glendening,0.5887859214766097
415,8476539,R,Jonathan,Marchessault,0.5843462068378645
146,8480011,C,Klim,Kostin,0.5782489232942017
349,8481477,C,Nico,Sturm,0.574453075296201
0,8484153,C,Leo,Carlsson,0.5684819294622404
260,8481601,R,Simon,Holmstrom,0.5529562072438526
271,8476624,C,Barclay,Goodrow,0.5498993875495414
50,8481522,C,Peyton,Krebs,0.5432241719740947
383,8480144,C,David,Kampf,0.5407875093261693
197,8480980,C,Connor,Dewar,0.5376569924946398
105,8473422,L,Nick,Foligno,0.5318675480762868
116,8477494,L,Jonathan,Drouin,0.5228957235957707
284,8482092,C,Ridly,Greig,0.5139031081660975
256,8473504,R,Cal,Clutterbuck,0.5126977521850127
263,8474709,L,Matt,Martin,0.5101801283489001
270,8482157,L,Will,Cuylle,0.5093567957317201
91,8476456,C,Jonathan,Huberdeau,0.502447064851904
389,8471817,R,Ryan,Reaves,0.4986788695372411
184,8476479,C,Phillip,Danault,0.49218759227198455
64,8480829,C,Jesperi,Kotkaniemi,0.48779248237768064
206,8474034,L,Pat,Maroon,0.48012808916856126
250,8476925,C,Colton,Sissons,0.4725401176551555
140,8477456,L,J.T.,Compher,0.4591486168544328
215,8478133,C,Jake,Evans,0.44833109923832054
341,8482667,L,William,Eklund,0.43855324614219987
235,8477931,L,Tomas,Nosek,0.4372237351320871
131,8476889,C,Radek,Faksa,0.43670928013098
37,8473473,L,Milan,Lucic,0.4365385628728596
46,8481528,C,Dylan,Cozens,0.4336187570515179
55,8481751,R,Lukas,Rousek,0.42511233434767437
334,8477505,C,Alex,Wennberg,0.3936835208622875
170,8479981,L,Jonah,Gadjovich,0.3501030387569046
166,8478585,C,Derek,Ryan,0.3147653964912684
44,8484145,L,Zach,Benson,0.2531367092226271
427,8476480,C,Vladislav,Namestnikov,0.22416980094234554
423,8481019,C,David,Gustafsson,0.2181094756485372
122,8478028,L,Fredrik,Olofsson,0.21585363387420411
322,8477930,L,Pierre-Edouard,Bellemare,0.21565917173395496
436,8482148,C,Hendrix,Lapierre,0.20732617280282506
259,8479328,R,Julien,Gauthier,0.1985091228511807
114,8471699,C,Andrew,Cogliano,0.19662121343544645
49,8479370,C,Tyson,Jost,0.18982159818229358
285,8478146,C,Matthew,Highmore,0.18815627583633246
426,8476392,C,Adam,Lowry,0.18425639940749527
300,8475235,L,Nicolas,Deslauriers,0.1776949686522181
297,8481553,R,Bobby,Brink,0.1672082228483749
344,8474884,C,Mike,Hoffman,0.16116537180484122
30,8477887,C,Patrick,Brown,0.14950999719170843
42,8478401,C,Pavel,Zacha,0.11878462384945833
289,8480448,L,Parker,Kelly,0.11845795763026312
223,8480018,C,Nick,Suzuki,0.10726674179356442
45,8482061,L,Brandon,Biro,0.10578090682626488
89,8482652,R,Walker,Duehr,0.10445429576184394
150,8482078,L,Lucas,Raymond,0.08873918631115611
97,8480008,C,Adam,Ruzicka,0.08809044590293785
148,8474102,L,David,Perron,0.07997502994593696
181,8479994,C,Jaret,Anderson-Dolan,0.07407128334881868
291,8479772,R,Zack,MacEwen,0.07405491556520151
19,8478474,L,Lawson,Crouse,0.06541115588018222
310,8470604,C,Jeff,Carter,0.061043663870918086
26,8477482,L,Zach,Sanford,0.026242974675416777
127,8473994,L,Jamie,Benn,0.007834381540553681
237,8476919,C,Chris,Tierney,0.0031767734411733187
207,8477464,C,Nic,Petan,0.0
192,8481732,L,Andre,Lee,0.0
443,8474157,L,Max,Pacioretty,0.0
444,8479547,R,Matthew,Phillips,-0.0017881516688554172
8,8476934,L,Brock,McGinn,-0.008901935546702317
