,id,position,firstName,lastName,Expected Shots
214,8477989,C,Christian,Dvorak,1.3429090591520627
403,8480012,C,Elias,Pettersson,1.3413809039679059
201,8477919,C,Frederick,Gaudreau,1.3395350863607163
11,8476458,C,Ryan,Strome,1.338996808763351
120,8477501,R,Valeri,Nichushkin,1.3372815190155711
277,8476389,C,Vincent,Trocheck,1.3330882764270051
128,8474149,R,Evgenii,Dadonov,1.331965465875632
73,8482475,R,Yegor,Chinakhov,1.3319373297945463
405,8480459,C,Pius,Suter,1.3298333565611538
211,8476469,R,Joel,Armia,1.3183864430581442
255,8475231,C,Casey,Cizikas,1.3136223217713714
290,8477330,L,Dominik,Kubalik,1.310353429886973
392,8478463,L,Anthony,Beauvillier,1.3094614839401726
16,8476329,C,Travis,Boyd,1.3010772202403982
257,8478115,L,Pierre,Engvall,1.2878354121076188
72,8480205,R,Emil,Bemstrom,1.2807773021849664
228,8480002,C,Nico,Hischier,1.2711273413922306
199,8478493,C,Joel,Eriksson Ek,1.2673549998481042
402,8476468,C,J.T.,Miller,1.257752124098135
15,8475760,C,Nick,Bjugstad,1.2538959115960466
382,8475714,C,Calle,Jarnkrok,1.2493046259211054
173,8478904,C,Steven,Lorentz,1.249249367726117
1,8475842,C,Sam,Carrick,1.2485745999351447
133,8482740,C,Wyatt,Johnston,1.24810300691849
62,8475855,R,Jesper,Fast,1.2468253339568698
191,8482155,R,Alex,Laferriere,1.2437979030086765
27,8477951,C,Nick,Schmaltz,1.2389288413090138
187,8479336,R,Carl,Grundstrom,1.2299582259315154
60,8478047,L,Michael,Bunting,1.2255666194987471
33,8479365,C,Trent,Frederic,1.2245028625626304
81,8479671,R,Mathieu,Olivier,1.2165106342332186
398,8478057,C,Dakota,Joshua,1.215109565030161
335,8482751,C,Ryan,Winterton,1.2134402322977784
165,8476454,C,Ryan,Nugent-Hopkins,1.2115780511839318
51,8479999,C,Casey,Mittelstadt,1.2099415333102248
90,8478421,L,A.J.,Greer,1.205291439201823
278,8476918,L,Jimmy,Vesey,1.1919022533495036
268,8474009,C,Nick,Bonino,1.1873428664111687
303,8480028,C,Morgan,Frost,1.1864973363018316
124,8475193,L,Tomas,Tatar,1.1857603303415951
298,8480220,L,Noah,Cates,1.1774165039485536
353,8478104,L,Sammy,Blais,1.168360067672051
435,8475744,C,Evgeny,Kuznetsov,1.1669122193465549
230,8481559,C,Jack,Hughes,1.1635682358744772
23,8481711,L,Matias,Maccelli,1.1586195983362808
355,8475763,R,Kevin,Hayes,1.1571357460063494
174,8482113,C,Anton,Lundell,1.154022448901384
69,8473533,C,Jordan,Staal,1.1440811792755547
132,8478449,C,Roope,Hintz,1.1440255730940765
433,8473563,C,Nicklas,Backstrom,1.1309672618769604
320,8475191,R,Reilly,Smith,1.128445061659823
294,8475765,R,Vladimir,Tarasenko,1.127251058776397
21,8479343,R,Clayton,Keller,1.1271159275436802
188,8481560,R,Arthur,Kaliyev,1.1262198417384883
441,8471698,R,T.J.,Oshie,1.123869218221546
369,8479542,L,Brandon,Hagel,1.1220767980531816
404,8480021,C,Jack,Studnicka,1.115374456275737
366,8478519,C,Anthony,Cirelli,1.1059955798348564
68,8476474,R,Stefan,Noesen,1.0983391117864105
239,8478051,C,Max,Willman,1.09735487873861
269,8480078,C,Filip,Chytil,1.0939461158349686
10,8475164,R,Jakob,Silfverberg,1.0911993340823454
332,8479293,L,Brandon,Tanev,1.075176006228782
7,8481517,R,Brett,Leason,1.0722179208728813
147,8477946,C,Dylan,Larkin,1.0658909681195181
258,8477392,R,Hudson,Fasching,1.0568325871703321
299,8476461,C,Sean,Couturier,1.0563488907382996
330,8475768,C,Jaden,Schwartz,1.0513419443053358
323,8482665,C,Matty,Beniers,1.0359460316452729
434,8475343,C,Nic,Dowd,1.0307098644047352
266,8475151,C,Kyle,Palmieri,1.0237795694562366
61,8480835,C,Jack,Drury,1.007852559596035
445,8481656,C,Aliaksei,Protas,1.0024463987213288
117,8475793,C,Ryan,Johansen,0.9859043007568605
20,8480849,C,Barrett,Hayton,0.9771363959013742
43,8474037,L,James,van Riemsdyk,0.961019675616528
264,8475754,C,Brock,Nelson,0.9407036363285729
178,8478831,C,Kevin,Stenlund,0.9230511885198696
352,8481543,C,Nikita,Alexandrov,0.9216352840568444
177,8478542,C,Evan,Rodrigues,0.9160404336529019
13,8478366,R,Frank,Vatrano,0.910829881432846
14,8481533,C,Trevor,Zegras,0.9084241608305925
151,8478466,R,Daniel,Sprong,0.896029552423551
329,8477955,L,Jared,McCann,0.8946800864799638
108,8481147,C,Reese,Johnson,0.8939165702936652
36,8480880,C,Jakub,Lauko,0.8913784621925998
288,8480355,C,Mark,Kastelic,0.8911745629051607
280,8476459,C,Mika,Zibanejad,0.8894293521359037
400,8478043,C,Sam,Lafferty,0.887913304328663
35,8478046,C,Danton,Heinen,0.8863473487713645
409,8481032,C,Paul,Cotter,0.8852810542685042
157,8480468,L,James,Hamblin,0.8792973064389672
112,8479390,R,Taylor,Raddysh,0.8654668578818515
397,8481535,L,Nils,Hoglander,0.8640681675538819
354,8477402,L,Pavel,Buchnevich,0.8539602645977337
171,8479367,R,William,Lockwood,0.8409503807836415
370,8479661,L,Tanner,Jeannot,0.837486738203543
417,8476905,C,Chandler,Stephenson,0.8348413790069472
447,8476880,R,Tom,Wilson,0.8342425647913956
99,8482074,C,Connor,Zary,0.8342163271006188
88,8479346,C,Dillon,Dube,0.8249015891179982
304,8477903,R,Garnet,Hathaway,0.8248237975193865
431,8480014,C,Gabriel,Vilardi,0.8246492601920677
109,8479383,L,Boris,Katchouk,0.8201004192653635
118,8477476,L,Artturi,Lehkonen,0.8187345562459076
22,8477021,C,Alex,Kerfoot,0.8133995319438005
4,8477527,L,Ross,Johnston,0.808977503995393
24,8480855,C,Jack,McBain,0.8012056850536696
347,8478067,L,Oskar,Lindblom,0.8007662754917956
240,8482146,R,Luke,Evangelista,0.8005579880808483
135,8470794,C,Joe,Pavelski,0.8004181510120589
282,8478078,C,Rourke,Chartier,0.8003986300386616
53,8478109,L,Victor,Olofsson,0.8002009190710919
413,8476448,C,William,Karlsson,0.7913537053266765
356,8477953,R,Kasperi,Kapanen,0.7849041684292786
251,8482062,L,Cole,Smith,0.7805662552089063
82,8478458,C,Jack,Roslovic,0.7781698293259754
111,8470621,R,Corey,Perry,0.7732583709882427
52,8473449,R,Kyle,Okposo,0.7649437583263939
5,8479368,L,Max,Jones,0.7634615234932891
345,8479316,C,Luke,Kunin,0.7623423561032303
198,8479520,R,Brandon,Duhaime,0.761114070692709
18,8483431,C,Logan,Cooley,0.7608193624777709
221,8479543,L,Michael,Pezzetta,0.7560402569015879
74,8479941,R,Justin,Danforth,0.7553357134325384
25,8477070,C,Liam,O'Brien,0.7548942660774104
331,8476913,C,Devin,Shore,0.750206728202512
317,8482055,L,Drew,O'Connor,0.7488401893374901
225,8479414,R,Nathan,Bastian,0.7403601071785832
110,8480798,C,Philipp,Kurashev,0.7351241962849556
200,8475220,L,Marcus,Foligno,0.7337309380888736
272,8481554,R,Kaapo,Kakko,0.7326820823268138
63,8482093,C,Seth,Jarvis,0.7290068004102354
279,8471218,R,Blake,Wheeler,0.728481192023635
321,8482241,L,Radim,Zohorna,0.7197007499547198
41,8479546,C,Oskar,Steen,0.7152023267630914
236,8476292,L,Ondrej,Palat,0.7123738461707241
193,8473453,C,Trevor,Lewis,0.7087894829334654
141,8477429,C,Andrew,Copp,0.7070266360428318
102,8477450,C,Jason,Dickinson,0.7066192209594576
348,8479379,R,Givani,Smith,0.7058080340258573
76,8476346,L,Johnny,Gaudreau,0.6968910290419327
307,8480068,C,Ryan,Poehling,0.6911414862030337
29,8481556,C,John,Beecher,0.6883702129465893
2,8480870,C,Bo,Groulx,0.6874570146002474
309,8478569,C,Noel,Acciari,0.6757776951645114
172,8479066,L,Ryan,Lomberg,0.6745729486670529
292,8480064,C,Josh,Norris,0.6743421473996709
373,8477353,C,Tyler,Motte,0.6733311805261347
363,8480281,R,Alexey,Toropchenko,0.6718128614681681
208,8482079,C,Marco,Rossi,0.6715706683970386
169,8476393,C,Nick,Cousins,0.6710399136118914
17,8479619,L,Michael,Carcone,0.670162809291463
162,8481534,C,Raphael,Lavoie,0.6629177397998555
213,8481523,C,Kirby,Dach,0.6596601747800711
372,8484325,C,Waltteri,Merela,0.6558839320688766
394,8478444,R,Brock,Boeser,0.651479244090163
327,8476826,C,Yanni,Gourde,0.6510651832595015
376,8477839,L,Conor,Sheary,0.6501496608946697
328,8481789,L,Tye,Kartye,0.6484363420775221
337,8479977,R,Kailer,Yamamoto,0.6464980631252736
399,8483808,L,Andrei,Kuzmenko,0.640730584664735
219,8481618,C,Alex,Newhook,0.6405689544613199
224,8481058,R,Jesse,Ylönen,0.6382632265822289
65,8477962,L,Brendan,Lemieux,0.6363304443721568
381,8479393,C,Noah,Gregor,0.6345249923052502
248,8481704,C,Juuso,Parssinen,0.6303492029567668
252,8481577,C,Philip,Tomasino,0.6277201494584871
142,8478512,C,Austin,Czarnik,0.6209631635483159
276,8475752,C,Tyler,Pitlick,0.6166309683183426
156,8474040,C,Sam,Gagner,0.6133842549835299
342,8475798,C,Mikael,Granlund,0.6129494688231408
315,8471215,C,Evgeni,Malkin,0.6083900790728455
365,8479718,C,Alex,Barré-Boulet,0.605722306903174
146,8480011,C,Klim,Kostin,0.602711951879822
415,8476539,R,Jonathan,Marchessault,0.6014393953598421
336,8483524,C,Shane,Wright,0.6011902002389927
412,8479353,C,Brett,Howden,0.5943121364192111
244,8477446,R,Michael,McCarron,0.5935762363153282
220,8476871,L,Tanner,Pearson,0.592386853706497
34,8479987,C,Morgan,Geekie,0.5921308682205227
185,8479400,C,Pierre-Luc,Dubois,0.5888302596179368
217,8481093,L,Rafael,Harvey-Pinard,0.5853578851349021
129,8480848,C,Ty,Dellandrea,0.5822513782891833
227,8475287,L,Erik,Haula,0.581849319599064
75,8484166,C,Adam,Fantilli,0.5789701398404725
0,8484153,C,Leo,Carlsson,0.5737708410464774
286,8482162,L,Roby,Jarventie,0.5709897207917892
229,8482125,R,Alexander,Holtz,0.5689895266147987
222,8483515,L,Juraj,Slafkovsky,0.568393280834894
243,8479996,C,Cody,Glass,0.5665231553134503
265,8476419,C,Jean-Gabriel,Pageau,0.5661984328154729
6,8473986,L,Alex,Killorn,0.5591698442342316
346,8478099,R,Kevin,Labanc,0.5575496753261148
253,8478508,C,Yakov,Trenin,0.557149628357327
316,8476442,L,Matt,Nieto,0.5557261173422677
242,8480853,C,Liam,Foudy,0.550839457027492
203,8475149,C,Marcus,Johansson,0.5477864669287765
440,8477947,L,Sonny,Milano,0.5413254473573755
349,8481477,C,Nico,Sturm,0.5384743106059192
358,8482089,L,Jake,Neighbours,0.5378862899868396
