Id,Date,Game,Team,TOI,CF,FF,SF,GF,xGF,SCF,SCGF,HDCF,HDCA,HDCF%,HDGF,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,Off. Zone Starts,Goals,Total Assists,Total Points,Shots,S%,ixG,iCF,iFF,iSCF,iHDCF
8481517,2023-10-19,2023-10-19 DAL at ANA,ANA,10.65,10,6,5,0,0.14,1,0,0,2,0.0,0,1,2,33.33,0,0,,6,5,54.55,0,0,,0.0,1,0,0,0,3,0.0,0.03,3,3,0,0
8481517,2023-10-21,2023-10-21 ANA at ARI,ANA,7.75,6,6,4,0,0.17,1,0,0,0,,0,1,1,50.0,0,0,,4,2,66.67,0,0,,0.0,1,0,0,0,1,0.0,0.05,2,2,1,0
8481517,2023-10-22,2023-10-22 BOS at ANA,ANA,6.35,2,1,0,0,0.04,0,0,0,3,0.0,0,0,2,0.0,0,0,,1,2,33.33,0,0,,,1,0,0,0,0,0.0,0.0,1,0,0,0
8481517,2023-10-24,2023-10-24 ANA at CBJ,ANA,5.3333333333333,8,4,2,1,0.14,4,1,0,0,,0,4,2,66.67,1,0,100.0,4,2,66.67,0,1,0.0,50.0,0,1,0,1,1,100.0,0.05,2,2,1,0
8481517,2023-10-26,2023-10-26 ANA at BOS,ANA,8.5166666666667,8,6,5,0,0.21,4,0,0,2,0.0,0,4,6,40.0,0,0,,4,2,66.67,0,0,,0.0,1,0,0,0,1,0.0,0.09,2,2,2,0
8481517,2023-10-28,2023-10-28 ANA at PHI,ANA,10.8,7,6,4,1,0.21,1,1,1,4,20.0,1,0,4,0.0,0,0,,3,6,33.33,0,0,,25.0,0,1,0,1,1,100.0,0.13,2,2,1,1
8481517,2023-10-30,2023-10-30 ANA at PIT,ANA,8.25,7,7,4,0,0.17,2,0,1,5,16.67,0,1,2,33.33,0,0,,3,7,30.0,0,0,,0.0,0,0,0,0,2,0.0,0.06,3,3,1,0
8481517,2023-11-01,2023-11-01 ARI at ANA,ANA,10.733333333333,6,4,3,0,0.24,2,0,0,1,0.0,0,2,2,50.0,0,0,,6,1,85.71,0,0,,0.0,1,0,0,0,0,0.0,0.0,0,0,0,0
8481517,2023-11-05,2023-11-05 VGK at ANA,ANA,6.1666666666667,5,3,1,1,0.2,1,1,1,0,100.0,1,0,2,0.0,0,0,,3,6,33.33,0,0,,100.0,1,0,0,0,0,0.0,0.0,1,1,0,0
8481517,2023-11-07,2023-11-07 PIT at ANA,ANA,11.366666666667,8,7,6,0,0.35,2,0,2,1,66.67,0,0,4,0.0,0,0,,11,5,68.75,0,0,,0.0,5,0,0,0,3,0.0,0.13,3,3,1,1
8481517,2023-11-10,2023-11-10 PHI at ANA,ANA,9.4666666666667,6,5,3,0,0.3,2,0,1,3,25.0,0,1,5,16.67,0,0,,3,6,33.33,0,0,,0.0,1,0,0,0,0,0.0,0.04,1,1,0,0
8482745,2023-10-14,2023-10-14 ANA at VGK,ANA,14.166666666666998,15,12,6,1,0.69,11,1,5,1,83.33,1,6,6,50.0,0,0,,8,12,40.0,0,0,,16.67,3,1,0,1,3,33.33,0.17,3,3,3,2
8482745,2023-10-15,2023-10-15 CAR at ANA,ANA,14.633333333333,20,15,11,2,1.71,13,1,9,3,75.0,0,4,5,44.44,1,1,50.0,7,15,31.82,1,0,100.0,18.18,1,0,1,1,2,0.0,0.31,5,2,3,1
8482745,2023-10-19,2023-10-19 DAL at ANA,ANA,14.233333333333,17,10,7,0,0.98,10,0,4,8,33.33,0,6,1,85.71,0,0,,7,7,50.0,0,0,,0.0,2,0,0,0,2,0.0,0.38,7,4,5,1
8482745,2023-10-21,2023-10-21 ANA at ARI,ANA,11.85,6,5,3,0,0.3,3,0,2,2,50.0,0,1,3,25.0,0,0,,3,9,25.0,0,0,,0.0,1,0,0,0,2,0.0,0.16,2,2,1,1
8482745,2023-10-22,2023-10-22 BOS at ANA,ANA,13.25,19,15,13,1,1.05,10,1,5,1,83.33,1,5,1,83.33,0,0,,12,4,75.0,0,0,,7.69,2,1,0,1,3,33.33,0.43,6,4,3,2
8482745,2023-10-24,2023-10-24 ANA at CBJ,ANA,13.55,12,8,7,1,0.34,6,1,1,2,33.33,1,5,5,50.0,0,0,,5,14,26.32,0,0,,14.29,1,0,1,1,1,0.0,0.05,1,1,1,0
8482745,2023-10-26,2023-10-26 ANA at BOS,ANA,12.966666666666999,8,5,3,1,0.1,3,0,0,2,0.0,0,3,4,42.86,0,0,,7,6,53.85,1,0,100.0,33.33,6,0,0,0,1,0.0,0.04,2,2,1,0
8482745,2023-10-28,2023-10-28 ANA at PHI,ANA,12.683333333333001,13,9,8,2,0.74,8,2,3,1,75.0,1,5,3,62.5,1,1,50.0,6,13,31.58,0,0,,25.0,2,0,1,1,3,0.0,0.34,5,3,3,2
8482745,2023-10-30,2023-10-30 ANA at PIT,ANA,13.216666666666999,16,11,9,1,0.93,9,1,8,3,72.73,1,1,7,12.5,0,0,,8,10,44.44,0,0,,11.11,2,1,0,1,2,50.0,0.32,5,3,3,3
8482745,2023-11-01,2023-11-01 ARI at ANA,ANA,13.233333333333,10,8,6,0,0.37,6,0,1,3,25.0,0,5,6,45.45,0,0,,4,7,36.36,0,0,,0.0,1,0,0,0,1,0.0,0.05,1,1,0,0
8482745,2023-11-05,2023-11-05 VGK at ANA,ANA,13.483333333333,13,9,5,1,1.09,7,1,6,6,50.0,1,1,7,12.5,0,0,,6,8,42.86,0,0,,20.0,0,1,0,1,3,33.33,0.89,5,5,5,5
8482745,2023-11-07,2023-11-07 PIT at ANA,ANA,15.083333333333002,13,8,8,0,0.28,6,0,2,4,33.33,0,4,0,100.0,0,0,,6,14,30.0,0,0,,0.0,2,0,0,0,4,0.0,0.23,5,4,4,2
8482745,2023-11-10,2023-11-10 PHI at ANA,ANA,10.716666666667,11,7,6,0,0.44,5,0,2,5,28.57,0,3,3,50.0,0,0,,7,10,41.18,0,0,,0.0,2,0,0,0,3,0.0,0.2,4,3,3,1
8475164,2023-10-14,2023-10-14 ANA at VGK,ANA,7.0,8,5,3,0,0.25,2,0,1,1,50.0,0,1,1,50.0,0,0,,6,5,54.55,0,0,,0.0,2,0,0,0,1,0.0,0.02,3,1,0,0
8475164,2023-10-15,2023-10-15 CAR at ANA,ANA,8.55,5,3,1,0,0.08,2,0,0,0,,0,2,3,40.0,0,0,,2,10,16.67,0,0,,0.0,2,0,0,0,1,0.0,0.07,2,2,1,0
8475164,2023-10-19,2023-10-19 DAL at ANA,ANA,7.4666666666667,10,6,4,0,0.11,2,0,0,1,0.0,0,2,1,66.67,0,0,,8,6,57.14,0,0,,0.0,2,0,0,0,2,0.0,0.08,4,4,0,0
